,country,year,month,coal_perc,gas_perc,nuclear_perc,hydro_perc,wind_perc,solar_perc,renewables_perc,season,avg_temp_c,max_temp_c,min_temp_c,avg_sealevel_pressure_hpa,avg_daily_precipitation_mm,female_perc,male_perc,population_density,population_below_14_perc,population_above_65_perc,population_working_age_perc
2754,Portugal,2014,7,0.15961349989721457,0.09126487585922517,0.0,0.07799353693756862,0.09843998424717487,0.010083983289544901,0.22926980177247477,Summer,21.516949152542374,37.1,9.4,1016.915,1.0705263157894738,52,48,113,14,20,66
2755,Portugal,2014,8,0.1568707297188805,0.0896966988218059,0.0,0.07247624920163936,0.10714558649677276,0.012188053075981864,0.23391877482160175,Summer,22.91793103448276,39.0,9.0,1017.6580645161291,1.033884297520661,52,48,113,14,20,66
2756,Portugal,2014,9,0.16434218190453168,0.09396872740515623,0.0,0.09839052834797685,0.07127631650404591,0.007644311503497509,0.22125163854213142,Autumn,21.549295774647888,40.4,7.3,1014.626923076923,3.065151515151515,52,48,113,14,20,66
2757,Portugal,2014,10,0.1380563658037047,0.07893885510982795,0.0,0.10887369869654112,0.11320758315969057,0.00660084136947748,0.2658285780265789,Autumn,19.993288590604028,35.6,7.4,1015.3148148148148,4.966412213740458,52,48,113,14,20,66
2758,Portugal,2014,11,0.1137882176880728,0.06506265241014463,0.0,0.1379808087728348,0.1349810537792291,0.0033554374384093207,0.30699029935267536,Autumn,15.394160583941606,26.1,1.3,1010.85,6.919672131147541,52,48,113,14,20,66
2759,Portugal,2014,12,0.11589265405307485,0.06626594876885099,0.0,0.15457767049090532,0.11291969527574501,0.004735402917111958,0.3034224131185357,Winter,12.282352941176471,23.2,-5.0,1028.5076923076924,1.3360655737704918,52,48,113,14,20,66
2760,Portugal,2015,1,0.12430095494160928,0.08914684167890712,0.0,0.12249206228256233,0.11843772720954454,0.005253858733114166,0.27413919217653654,Winter,11.739495798319327,22.0,-3.8,1028.107142857143,3.7319999999999998,52,48,113,14,20,66
2761,Portugal,2015,2,0.0938643118322325,0.06731817942389899,0.0,0.14553667649534838,0.15741874530002994,0.005224172797419026,0.3294294020386704,Winter,11.638931297709924,21.9,-4.1,1023.3791666666666,2.118103448275862,52,48,113,14,20,66
2762,Portugal,2015,3,0.10614797097470074,0.07612791672282428,0.0,0.14293966017397416,0.1322006912089278,0.007818364726508594,0.30711218661683914,Spring,13.989795918367347,31.6,-1.7,1023.4344827586207,1.369767441860465,52,48,113,14,20,66
2763,Portugal,2015,4,0.13306168422977271,0.09543007421041984,0.0,0.1164245092951596,0.10292427914504094,0.008683336091936377,0.25820977590281613,Spring,15.992086330935253,30.2,1.6,1018.8518518518518,2.9531746031746033,52,48,113,14,20,66
