;country;year;month;season;avg_sealevel_pressure_hpa;avg_daily_precipitation_mm;female_perc;male_perc;population_density;coal;nuclear;hydro;solar;wind;renewables;avg_temp;min_temp;max_temp;population_below_14;population_above_65;population_working_age
59;Australia;2011;12;Summer;low;medium;50;50;very low;very high;very low or none;very low or none;low;low;very low or none;high;medium;very high;high;low;medium
60;Australia;2012;1;Summer;low;medium;50;50;very low;very high;very low or none;very low or none;low;low;very low or none;high;medium;very high;high;low;medium
61;Australia;2012;2;Summer;low;medium;50;50;very low;very high;very low or none;very low or none;low;low;very low or none;high;high;very high;high;low;medium
62;Australia;2012;3;Autumn;low;medium;50;50;very low;very high;very low or none;low;low;low;very low or none;high;medium;high;high;low;medium
63;Australia;2012;4;Autumn;medium;medium;50;50;very low;very high;very low or none;low;low;low;very low or none;medium;medium;high;high;low;medium
64;Australia;2012;5;Autumn;medium;low;50;50;very low;very high;very low or none;low;low;low;very low or none;medium;low;high;high;low;medium
65;Australia;2012;6;Winter;medium;medium;50;50;very low;very high;very low or none;low;low;low;very low or none;medium;low;medium;high;low;medium
66;Australia;2012;7;Winter;medium;low;50;50;very low;very high;very low or none;low;low;low;low;medium;low;high;high;low;medium
67;Australia;2012;8;Winter;medium;low;50;50;very low;very high;very low or none;low;low;low;low;medium;low;high;high;low;medium
68;Australia;2012;9;Spring;medium;low;50;50;very low;very high;very low or none;low;low;low;low;medium;low;high;high;low;medium
69;Australia;2012;10;Spring;medium;low;50;50;very low;very high;very low or none;low;low;low;low;medium;medium;high;high;low;medium
70;Australia;2012;11;Spring;low;low;50;50;very low;very high;very low or none;low;medium;low;very low or none;high;medium;high;high;low;medium
71;Australia;2012;12;Summer;low;low;50;50;very low;very high;very low or none;very low or none;medium;low;very low or none;high;medium;very high;high;low;medium
72;Australia;2013;1;Summer;low;medium;50;50;very low;high;very low or none;very low or none;low;low;very low or none;high;high;very high;high;low;medium
73;Australia;2013;2;Summer;low;medium;50;50;very low;very high;very low or none;low;low;low;very low or none;high;high;very high;high;low;medium
74;Australia;2013;3;Autumn;low;medium;50;50;very low;very high;very low or none;low;low;low;very low or none;high;medium;high;high;low;medium
75;Australia;2013;4;Autumn;medium;medium;50;50;very low;very high;very low or none;low;low;low;low;high;medium;high;high;low;medium
76;Australia;2013;5;Autumn;medium;low;50;50;very low;very high;very low or none;low;low;medium;low;medium;medium;high;high;low;medium
77;Australia;2013;6;Winter;medium;medium;50;50;very low;very high;very low or none;low;low;low;very low or none;medium;low;high;high;low;medium
78;Australia;2013;7;Winter;medium;medium;50;50;very low;very high;very low or none;low;low;medium;low;medium;low;high;high;low;medium
79;Australia;2013;8;Winter;medium;low;50;50;very low;very high;very low or none;low;low;medium;low;medium;medium;high;high;low;medium
80;Australia;2013;9;Spring;medium;medium;50;50;very low;very high;very low or none;low;low;medium;low;medium;medium;high;high;low;medium
81;Australia;2013;10;Spring;low;low;50;50;very low;very high;very low or none;low;medium;medium;low;high;medium;high;high;low;medium
82;Australia;2013;11;Spring;low;medium;50;50;very low;very high;very low or none;low;medium;low;low;high;medium;high;high;low;medium
